project_ID,NBS_group,NBS_activity,NBS_group2,NBS_activity2,methodology,registry,LU,area,directArea,credit_length,totalERs,coords,mulitpleLocations,LUCdate,previousLU,KML,costs_deploy,costs_deploy_detail,costs_manage,costs_manage_detail,costs_monitor,costs_monitor_detail,LAT,LON,description,notes,project_name,project_proponent,validator,validation_date,verfier1,verification_date1,country,sectoral_scope,estimated_annual_emission_reductions,active_CCB_status,CCB_yes,reference,shell_review,shell_review_date,shell_review_person,shell_decision,shell_reason,shell_volume_date,shell_volume_purchase,shell_volume_retired
VCS607,Forest,AvoiForest_REDD,Forest,REDD,VM0012,Markit,Hardwoods,54792.00,1,100,12484719.00,"49.370252, -116.980765",0,NA,NONE,1,,,,,,,49.370252, -116.980765,†The Darkwoods Forest Carbon Project achieves net GHG emission reductions and removals through the avoidance of emissions due to logging in the baseline scenario.,Avoided deforestation,Darkwoods Forest Carbon Project,Nature Conservancy of Canada,"Rainforest Alliance, Inc.",2011-04-21,SCS Global Services,2011-04-28,Canada,"14. Agriculture, Forestry, Land Use",124847,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/11431,1,,,Approved,,,,
VCS612,Forest,AvoiForest_REDD,Forest,REDD,VM0009,Markit,Hardwoods,169741.00,1,30,48448769.00,"-3.903781, 38.793981",0,NA,NONE,1,,,,,,,-3.903781, 38.793981,The project will protect dryland forest to avoid the gross emissions of over 48 million metric tonnes of CO2e which would have been emitted due to slash and burn deforestation over the 30 year project life.,Avoided deforestation,The Kasigau Corridor REDD Project - Phase II The Community Ranches,Wildlife Works Carbon LLC,DNV GL Climate Change Services,2011-05-09,DNV GL Climate Change Services,2011-05-10,Kenya,"14. Agriculture, Forestry, Land Use",1614959,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6493,1,,,Approved,,,,
VCS632,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.Y,Markit,FARM,NA,NA,7,40558.00,"36.034861, -119.339806",0,NA,NA,NA,,,,,,,36.034861, -119.339806,JR Dairy Farm reduces methane production from anaerobic manure management system through removal of solids from manure slurry stream.,Reduced CH4 from manure,JR Dairy Farm Project,J.R. Dairy,,,,,United States,15. Livestock and manure management,5794,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6753,0,,,,,,,
VCS634,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.Y,APX,FARM,NA,NA,8,65608.00,"36.164067, -119.234504",0,NA,NA,NA,,,,,,,36.164067, -119.234504,"Bos Dairy Farm Project, UNITED STATES
Back to Search Results

Reduction of methane production from anaerobic manure management system through removal of solids from manure slurry stream. ",Reduced CH4 from manure,Bos Dairy Farm Project,Bos Dairy Farm Project,,,,,United States,15. Livestock and manure management,8200,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6825,0,,,,,,,
VCS641,Forest,AvoiForest_REDD,Forest,REDD,VM0010,Markit,Hardwoods,3249.00,1,25,667206.00,"-42.048294, 147.525195",1,NA,NONE,1,,,,,,,-42.048294, 147.525195,The purpose and objective of the Grouped Project is to protect native forest that will be logged in the absence of carbon finance.,Avoided deforestation,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,MULTIPLE PROJECT PROPONENTS,SCS Global Services,2011-05-13,SCS Global Services,2011-08-08,Australia,"14. Agriculture, Forestry, Land Use",144582,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6927,0,,,,,,,
VCS642,Agriculture,RestAgriculture_Enteric-Fermentation,Agriculture,Waste,AMS-III.Y,APX,FARM,NA,NA,8,82728.00,"35.479462, -119.435341",0,NA,NA,NA,,,,,,,35.479462, -119.435341,Reduction of methane production from anaerobic manure management system through removal of solids from manure slurry stream.,Reduced CH4 from manure,West Star North Dairy,West Star North Dairy,,,,,United States,15. Livestock and manure management,10341,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6945,0,,,,,,,
VCS647,Forest,AvoiForest_REDD,Forest,REDD,VM0007,APX,Hardwoods,3980.00,1,25,1442957.00,"16.311123, -88.796923",0,NA,NONE,1,,,,,,,16.311123, -88.796923,"The core objective of this project is to commercialize the forest carbon offsets at the Boden Creek Ecological Preserve near Punta Gorda, Belize, Central America.",Avoided deforestation,Boden Creek Ecological Preserve Forest Carbon Project,Boden Creek Ecological Preserve,SCS Global Services,2011-06-24,SCS Global Services,2011-07-21,Belize,"14. Agriculture, Forestry, Land Use",57718,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/6983,0,,,,,,,
VCS658,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AM0003,APX,Hardwoods,919.30,1,30,526342.00,"-8.550015, -74.763826",0,1972,Pasture,1,,,,,,,-8.550015, -74.763826,The Campo Verde project reforests pasture lands with native commercial timber species which were deforested in the 1960s. This totals active plantations on 740 ha and natural regeneration on 179.7 ha over the same private land area (total of 24 eligible pastures),Reforest pasture for commercial use,"Reforestation of pastures in Campo Verde with native species, Pucallpa, Peru",Bosques Amaz√≥nicos,T‹V S‹D Industrie Service GmbH,2009-07-20,T‹V S‹D Industrie Service GmbH,2012-06-20,Peru,"14. Agriculture, Forestry, Land Use",5600,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7142,0,,,,,,,
VCS665,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AMS0006,Markit,Mixed,1096.25,1,40,620492.67,"-9.851473, -58.257718",0,1998,Grazing,0,,,,,,,-9.851473, -58.257718,The project aims to restore 1971.25 ha (only 1096 ha of which are VCS-eligible) of grasslands that were deforested prior to purchase in 1998 for the purpose of cattle grazing activities.,Reforesting degraded land,"Multi-Species Reforestation in Mato Grosso, Brazil",O.N.F. International,Ernst & Young,2011-04-22,Ernst & Young,2011-04-22,Brazil,"14. Agriculture, Forestry, Land Use",15512,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7227,0,,,,,,,
VCS672,Forest,AvoiForest_REDD,Forest,REDD,VM0005,Markit,Hardwoods,25000.00,1,30,4140409.00,"5.032820, 117.803730",0,NA,NONE,1,,,,,,,5.032820, 117.803730,"The project rehabilitates 25,000 ha of severely logged-over mixed dipterocarp rainforest in Sabah, Malaysia and prevents relogging of the forest in this area.",Avoided deforestation,"INFAPRO Rehabilitation of logged-over dipterocarp forest in Sabah, Malaysia",Face the Future,SCS Global Services,2011-08-31,SCS Global Services,2011-08-31,Malaysia,"14. Agriculture, Forestry, Land Use",138013,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/17015,0,,,,,,,
VCS673,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0001,Markit,Hardwoods,6213.00,1,60,4450862.00,"0.219268, 30.365221",0,2009,Fallow,1,,,,,,,0.219268, 30.365221,The project contributes to climate change mitigation by sequestering GHGs in sinks through planting of indigenous tree species and assisted natural regeneration activities.†,Reforest degraded land,Natural High Forest Rehabilitation Project on degraded land of Kibale National Park,Face the Future,,,,,Uganda,"14. Agriculture, Forestry, Land Use",74181,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7324,0,,,,,,,
VCS674,Wetland,AvoiPeatland,Wetland,Peatland,VM0004,Markit,Peatland,47237.00,1,30,104886254.00,"-3.105880, 112.299015",0,NA,NONE,1,,,,,,,-3.105880, 112.299015,"The project aims to reduce Indonesiaís emissions by preserving some 64,000 hectares of tropical peat swamp forest",Protecting peatland,Rimba Raya Biodiversity Reserve Project,InfiniteEARTH,SCS Global Services,2011-08-03,SCS Global Services,2013-05-22,Indonesia,"14. Agriculture, Forestry, Land Use",3527171,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7335,0,,,,,,,
VCS687,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0001,APX,Conifers,1452.18,1,30,952118.91,"-7.358199, -78.358407",1,,Fallow,1,,,,,,,-7.358199, -78.358407,The project aims to plant 1450 ha of pine species trees for plantation management on current degraded grasslands that were used for ranching. Total eligible area was found to be around 4000 ha but the initial instance was selected as the most degraded lands.,Reforest degraded land,"Reforestation of pastures in Sociedad Agr√≠cola de Inter√©s Social ‚ÄúJos√© Carlos Mari√°tegui‚Äù - Joven Forestal Project, Per√∫",SAIS Jos√© Carlos Mariategui,Colombian Institute for Technical Standards and Certification (ICONTEC),2011-08-18,,,Peru,"14. Agriculture, Forestry, Land Use",31737,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7519,0,,,,,,,
VCS689,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0002,APX,Hardwoods,282.35,1,64,320467.00,"21.918772, 81.183786",1,,,1,,,,,,,21.918772, 81.183786,The project reforests degraded lands to improve water-holding capacity and reduce wind and water erosion of the 'Bhata Lands' which also increasing carbon stocks in trees and providing economic income for local populations.,Reforest degraded land,"Reforestation of degraded land in Chhattisgarh, India",Prakash Industries Limited,T‹V Nord Cert GmbH,2011-07-27,T‹V Nord Cert GmbH,2011-11-22,India,"14. Agriculture, Forestry, Land Use",5007,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7533,0,,,,,,,
VCS720,Agriculture,RestAgriculture_Agroforestry,Agriculture,APlanting,AR-AM0002,Markit,Fruit Trees,84.00,1,40,369.00,"-33.986721, 18.631929",0,,Fallow,1,,,,,,,-33.986721, 18.631929,The project will plant fruit trees and indigenous trees in private household gardens across South Africa using Trees-for-Homes funding specifically earmarked for carbon offsetting.,Fruit trees planted in an urban area,Tree Planting in South African townships,Food and Trees for Africa (FTFA),SCS Global Services,2011-08-02,,,South Africa,"14. Agriculture, Forestry, Land Use",9,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7935,0,,,,,,,
VCS721,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0002,Markit,Bamboo,141.00,1,20,39568.00,"-26.392881, 27.799449",0,,Fallow,1,,,,,,,-26.392881, 27.799449,The project will plant and manage 101 ha of bamboo plantations in conjunction with local communities under the Bamboo for Africa (BFA) Programme. ,Plants bamboo on degraded lands,Peri-urban bamboo planting around South African townships,MULTIPLE PROJECT PROPONENTS,SCS Global Services,2011-08-08,,,South Africa,"14. Agriculture, Forestry, Land Use",16000,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/7942,0,,,,,,,
VCS737,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AMS0001,APX,Hardwoods,2556.00,1,30,2600818.00,"0.034689, 37.653400",1,,Grazing,1,,,,,,,0.034689, 37.653400,The project is aimed to plant hardwoods on land used for grazing and for farming to generate carbon credits.,TIST afforestation,"TIST Program in Kenya, VCS 005",Clean Air Action Corporation,Environmental Services Inc,2011-12-16,Environmental Services Inc,2011-12-22,Kenya,"14. Agriculture, Forestry, Land Use",86694,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/24956,1,,,Approved,,,,
VCS738,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AMS0001,Markit,Cerrado,588.90,1,30,206115.00,"-17.943023, -53.102676",1,2007,Pasture,1,,,,,,,-17.943023, -53.102676,"The project includes the reforestation of 589 hectares using native Cerrado species over a 30 year period to anticipate a total stock of 214,245 tons of carbon dioxide, with 206,115 tCO2e being the net amount resulting from the project activity.",Reforest Ag land,"Carbon Project in the Emas-Taquari Biodiversity Corridor, Goi√°s and Mato Grosso do Sul, Brazil",Oreades Nucelo de Geoprocessamento,"Rainforest Alliance, Inc.",2010-10-20,,,Brazil,"14. Agriculture, Forestry, Land Use",6870,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/8161,0,,,,,,,
VCS774,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Hardwoods,12789.00,1,60,6112428.00,"31.586844, -91.615657",1,1999,Agriculture,1,,,,,,,31.586844, -91.615657,"The project sequesters carbon by planting 12,789.3 hectares of former agricultural lands in the Lower Mississippi Valley of the United States.",Afforest grazed lands,Reforestation Across the Lower Mississippi Valley,Dynegy Inc.,SCS Global Services,2011-04-20,SCS Global Services,2011-04-20,United States,"14. Agriculture, Forestry, Land Use",101874,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/8795,0,,,,,,,
VCS796,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-AMS0001,Markit,Mixed,2300.00,1,40,1155772.00,"-7.265201, -76.699412",1,2008,Cacao,1,290,$0.33 to farmers for each tree planted,,,,,-7.265201, -76.699412,The project aims to reforest around 2300 ha of land with more than 2 million trees (some for agroforest purpose around cacao) planted by 1800 small-scale farmers in the San Martin Region of Peru. Previous land uses were 64% cacoa plantations and 33% degraded purma.,Reforest degraded land,Alto Huayabamba,Pur Projet,"Rainforest Alliance, Inc.",2011-12-14,Ecocert S.A.,2014-07-04,Peru,"14. Agriculture, Forestry, Land Use",28756,Validation approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9070,0,,,,,,,
VCS799,Forest,NovoForest_Reforestation,Forest,Reforestation,AR-ACM0001,APX,Mixed,2061.60,1,42,499918.00,"0.374542, 33.391615",1,,,1,,,,,,,0.374542, 33.391615,"The project activity will establish and manage exotic and indigenous reforestation on approximately 2,061 ha of degraded shrub and grassland.",Reforest degraded land,Bukaleba Forest Project,MULTIPLE PROJECT PROPONENTS,,,,,Uganda,"14. Agriculture, Forestry, Land Use",11903,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9099,0,,,,,,,
VCS812,Forest,AvoiForest_REDD,Forest,REDD,VM0007,APX,Hardwoods,567.30,1,30,369472.00,"17.066667, -88.783333",1,NA,NONE,1,,,,,,,17.066667, -88.783333,This REDD+ project protects 666 ha of broadleaf forest in central Belize. ,Avoided deforestation,Bull Run Overseas Forest Carbon Project,Bull Run Overseas Ltd.,Environmental Services Inc,2012-03-15,Environmental Services Inc,2012-03-15,Belize,"14. Agriculture, Forestry, Land Use",12315,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9239,0,,,,,,,
VCS818,Forest,AvoiForest_REDD,Forest,REDD,VM0007,APX,Hardwoods,235.00,1,30,176560.00,"-12.145847, -66.305073",0,NA,NONE,1,,,,,,,-12.145847, -66.305073,The project protects areas under the REDD methodology to prevent the emissions from deforestation and conversion to pastures and allow the forest to reclaim its status as a primary forest.,Avoided deforestation,Protection of the Bolivian Amazon Forest,Fermin Aldabe,Environmental Services Inc,2012-03-26,Environmental Services Inc,2013-07-07,Bolivia,"14. Agriculture, Forestry, Land Use",5885,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/20951,0,,,,,,,
VCS824,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,777.10,1,30,730450.00,"-0.554099, 30.179177",1,,,1,,,,,,,-0.554099, 30.179177,"This TIST project is for a subset of the reforestation project in Uganda and applies to 291 of the Small Groups, 1,662 members, 1,000 project areas and 777.1 ha.",TIST afforestation,"TIST Program in Uganda, VCS 001",Clean Air Action Corporation,Environmental Services Inc,2012-03-20,Environmental Services Inc,2012-03-20,Uganda,"14. Agriculture, Forestry, Land Use",24348,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9687,1,,,In Progress,,,,
VCS825,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,164.90,1,30,144016.00,"-0.979305, 29.921123",1,,,1,,,,,,,-0.979305, 29.921123,"This TIST reforestation project in Uganda applies to 17 of the Small Groups, 24 members, 22 project areas and 164.9 ha.",TIST afforestation,"TIST Program in Uganda, VCS 002",Clean Air Action Corporation,Environmental Services Inc,2012-03-20,Environmental Services Inc,2012-03-20,Uganda,"14. Agriculture, Forestry, Land Use",4801,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9674,1,,,In Progress,,,,
VCS826,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,102.20,1,30,88750.00,"-0.979305, 29.921123",1,,,1,,,,,,,-0.979305, 29.921123,"This TIST reforestation project in Uganda applies to 8 of the Small Groups, 69 members, 13 project areas and 102.2 ha.",TIST afforestation,"TIST Program in Uganda, VCS 004",Clean Air Action Corporation,Environmental Services Inc,2012-03-20,Environmental Services Inc,2012-03-20,Uganda,"14. Agriculture, Forestry, Land Use",2958,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9661,1,,,In Progress,,,,
VCS827,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-AMS0001,APX,Hardwoods,443.30,1,30,393358.00,"-0.906499, 29.783886",1,,,1,,,,,,,-0.906499, 29.783886,"This TIST project is for a subset of the reforestation project in Uganda and applies to 157 of the Small Groups, 1,211 members, 610 project areas and 443.3 ha.",TIST afforestation,"TIST Program in Uganda, VCS 003",Clean Air Action Corporation,Environmental Services Inc,2012-03-20,Environmental Services Inc,2012-03-20,Uganda,"14. Agriculture, Forestry, Land Use",13112,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9589,1,,,In Progress,,,,
VCS829,Agriculture,NovoAgriculture,Agriculture,APlanting,AR-AMS0004,APX,Jatropha,15000.00,0,40,134.00,"13.182864, -9.318049",1,,,1,,,,,,,13.182864, -9.318049,An agroforestry grouped project that aims to develop biofuel in Mali through the empowerment of rural communities to adopt sustainable practices for Jatropha curcas plantations.,Jatropha replaces conventional agriculture,Jatropha Curcas grouped project in Mali,MULTIPLE PROJECT PROPONENTS,DNV GL Climate Change Services,2012-04-17,,,Mali,"14. Agriculture, Forestry, Land Use",3,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/33500,0,,,,,,,
VCS832,Forest,AvoiForest_REDD,Forest,REDD,VM0007,APX,Hardwoods,27434.00,1,20,7454138.00,"-3.245342, -48.301566",1,NA,NONE,1,,,,,,,-3.245342, -48.301566,"The CIKEL Brazilian Amazon REDD APD Project aims to avoid emissions from planned deforestation on a property in Paragominas Municipality, Para state, Brazil.",Avoided deforestation,Cikel Brazilian Amazon REDD APD Project   Avoiding Planned Deforestation,CKBV Florestal Ltda,"Rainforest Alliance, Inc.",2012-05-17,"Rainforest Alliance, Inc.",2012-06-20,Brazil,"14. Agriculture, Forestry, Land Use",370000,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9775,0,,,,,,,
VCS838,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Hardwoods,164.50,1,70,83705.00,"31.961889, -91.540229",0,,,1,,,,,,,31.961889, -91.540229,"Afforestation of 165.4 hectares of privately owned former agricultural land in Franklin Parish, Louisiana with native bottomland hardwood tree species by The Nature Conservancy.",Afforest grazed lands,Tensas River Basin Project,The Nature Conservancy,"Rainforest Alliance, Inc.",2011-06-16,,,United States,"14. Agriculture, Forestry, Land Use",1196,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9896,0,,,,,,,
VCS839,Forest,NovoForest_Afforestation,Forest,Afforestation,AR-ACM0001,Markit,Hardwoods,58.10,1,64,34037.00,"32.898322, -91.837838",0,1960,Pasture,1,,,,,,,32.898322, -91.837838,"Afforestation of 58.1 hectares of former pasture land in Morehouse Parish, Louisiana, owned by The Nature Conservancy, with native bottomland hardwood tree species.",Afforest grazed lands,Bayou Bartholomew Climate Action Project,The Nature Conservancy,"Rainforest Alliance, Inc.",2011-08-18,,,United States,"14. Agriculture, Forestry, Land Use",531,,0,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/9903,0,,,,,,,
VCS844,Forest,AvoiForest_REDD,Forest,REDD,VM0007,Markit,Hardwoods,98932.00,1,38,25072135.00,"-11.087905, -69.710790",0,NA,NONE,1,,,,,,,-11.087905, -69.710790,"The Madre de Dios Amazon REDD Project (""the Project"") is a Reduced Emissions from Deforestation and Forest Degradation (REDD) project.",Avoided deforestation,Madre de Dios Amazon REDD Project,MULTIPLE PROJECT PROPONENTS,SCS Global Services,2012-09-20,SCS Global Services,2013-05-21,Peru,"14. Agriculture, Forestry, Land Use",659793,Verification approved,1,https://www.vcsprojectdatabase.org/services/publicViewServices/downloadDocumentById/10666,1,,,HOLD,,,,
